suburb,r2_0r,r2_lr,r2_rf,r2_combine,type,confidence
Traralgon,0.7093987374348297,0.7093987374348297,0.5023540035233949,0.6559618878238758,Unit,high
Macleod (Vic.),0.773321250013136,0.773321250013136,0.6667584231893119,0.7679288637649649,Unit,high
Bulleen,-0.8860088074537185,-0.8860088074537185,0.5208903530720099,0.2854532081156629,Unit,high
Heathmont,0.541158279756073,0.541158279756073,0.6218489371167826,0.7284631529745065,Unit,high
Vermont,0.4332222738351823,0.4332222738351823,-0.149399596316337,0.3626372689850834,Unit,high
Norlane,0.447511859073659,0.447511859073659,-0.191125238057277,0.4070793712190155,Unit,high
Melton (Vic.),-1.4187581199361603,-1.4187581199361603,0.0253027043970799,0.3198466388603144,Unit,high
Pakenham,0.3909113865396068,0.3909113865396068,-0.2764313937948699,0.1350648894494078,Unit,high
Maffra (Vic.),0.5002157979052784,0.5002157979052784,0.4467950226932988,0.5037942679062595,Unit,high
Newport (Vic.),0.6663663582537352,0.6663663582537352,0.6284786585038272,0.6647898647685824,Unit,high
Bentleigh East,0.4357891411297887,0.4357891411297887,0.3311711136563589,0.4297030503564411,Unit,high
Taylors Lakes,0.2064694917139108,0.2064694917139108,0.1893429557080055,0.2729647431468083,Unit,high
Clifton Hill,0.5598222027954181,0.5598222027954181,0.4289064843121871,0.5354069895100888,Unit,high
Hastings (Vic.),0.5363440192190596,0.5363440192190596,0.044648531527476,0.3522891417854275,Unit,high
Lalor,0.4178670691027281,0.4178670691027281,-0.6296379497466305,0.1209934132675252,Unit,high
Yarrawonga (Vic.),0.5640796253213435,0.5640796253213435,0.6005081437732932,0.6694539431753348,Unit,high
Box Hill South,0.5634942697590781,0.5634942697590781,0.2117623454918558,0.4385542284238749,Unit,high
Rosanna,0.5659195051278997,0.5659195051278997,0.408228976995844,0.5517365649212591,Unit,high
Burwood East,0.2964561890884238,0.2964561890884238,0.2164962749918925,0.2978581878307361,Unit,high
Bonbeach,-0.2166056428366416,-0.2166056428366416,0.4415575336993579,0.1729136745360303,Unit,high
Kangaroo Flat (Vic.),0.3658149725417857,0.3658149725417857,0.5951677775557306,0.6845113564302898,Unit,high
Dallas,0.5444704186415701,0.5444704186415701,0.1678983547514361,0.4179262282132305,Unit,high
Williams Landing,0.4826528862446749,0.4826528862446749,0.2561851942979185,0.4155272745817335,Unit,high
Drouin,0.6196732281170956,0.6196732281170956,0.4776159569664365,0.5958893365472766,Unit,high
Ballarat Central,0.0981707938425279,0.0981707938425279,0.2622466582212883,0.2147945531967559,Unit,high
Dromana,0.4872080522331971,0.4872080522331971,0.6546435834227062,0.6229760582527384,Unit,high
Campbellfield,0.539938144800149,0.539938144800149,0.4759882443588985,0.531138044266804,Unit,high
Yarraville,0.5590848365376685,0.5590848365376685,0.4706172896727487,0.6130269067201148,Unit,high
Moe,0.5640677062971493,0.5640677062971493,0.5866881967817789,0.5872890665614904,Unit,high
Knoxfield,0.180363617228746,0.180363617228746,0.0293221666156263,0.124329522954801,Unit,high
